structure	score	cellTypes	spanRatio	leaves	minCycle	maxCycle	beatLevel
[2,2]	1.000000	1	1.0000	4	1.0000	2.0000	1
[2,2,2]	1.000000	1	1.0000	6	1.0000	3.0000	1
[3,3]	1.000000	1	1.0000	6	1.0000	3.0000	1
[[2,2],[2,2]]	1.000000	1	1.0000	8	1.0000	4.0000	1
[3,3,3]	1.000000	1	1.0000	9	1.0000	4.5000	1
[[2,2,2],[2,2,2]]	1.000000	1	1.0000	12	1.2000	5.0000	1
[[2,2],[2,2],[2,2]]	1.000000	1	1.0000	12	1.2000	5.0000	1
[[3,3],[3,3]]	1.000000	1	1.0000	12	1.2000	5.0000	1
[[[2,2],[2,2]],[[2,2],[2,2]]]	1.000000	1	1.0000	16	1.6000	5.0000	2
[[2,2,2],[2,2,2],[2,2,2]]	1.000000	1	1.0000	18	1.8000	5.0000	1
[[3,3,3],[3,3,3]]	1.000000	1	1.0000	18	1.8000	5.0000	1
[[3,3],[3,3],[3,3]]	1.000000	1	1.0000	18	1.8000	5.0000	1
[2,3]	0.666667	1	1.5000	5	1.0000	2.5000	1
[3,2]	0.666667	1	1.5000	5	1.0000	2.5000	1
[2,2,3]	0.666667	1	1.5000	7	1.0000	3.5000	1
[2,3,2]	0.666667	1	1.5000	7	1.0000	3.5000	1
[3,2,2]	0.666667	1	1.5000	7	1.0000	3.5000	1
[2,3,3]	0.666667	1	1.5000	8	1.0000	4.0000	1
[3,2,3]	0.666667	1	1.5000	8	1.0000	4.0000	1
[3,3,2]	0.666667	1	1.5000	8	1.0000	4.0000	1
[[2,3],[2,3]]	0.666667	1	1.5000	10	1.0000	5.0000	1
[[3,2],[3,2]]	0.666667	1	1.5000	10	1.0000	5.0000	1
[[2,2,3],[2,2,3]]	0.666667	1	1.5000	14	1.4000	5.0000	1
[[2,3,2],[2,3,2]]	0.666667	1	1.5000	14	1.4000	5.0000	1
[[3,2,2],[3,2,2]]	0.666667	1	1.5000	14	1.4000	5.0000	1
[[2,3],[2,3],[2,3]]	0.666667	1	1.5000	15	1.5000	5.0000	1
[[3,2],[3,2],[3,2]]	0.666667	1	1.5000	15	1.5000	5.0000	1
[[2,3,3],[2,3,3]]	0.666667	1	1.5000	16	1.6000	5.0000	1
[[3,2,3],[3,2,3]]	0.666667	1	1.5000	16	1.6000	5.0000	1
[[3,3,2],[3,3,2]]	0.666667	1	1.5000	16	1.6000	5.0000	1
[[[2,2],[2,2],[2,2]],[[2,2],[2,2]]]	0.666667	1	1.5000	20	2.0000	5.0000	2
[[[2,2],[2,2]],[[2,2],[2,2],[2,2]]]	0.666667	1	1.5000	20	2.0000	5.0000	2
[[[2,3],[2,3]],[[2,3],[2,3]]]	0.666667	1	1.5000	20	2.0000	5.0000	2
[[[3,2],[3,2]],[[3,2],[3,2]]]	0.666667	1	1.5000	20	2.0000	5.0000	2
[[2,2,2],[3,3]]	0.500000	2	1.0000	12	1.2000	5.0000	1
[[3,3],[2,2,2]]	0.500000	2	1.0000	12	1.2000	5.0000	1
[[2,2,2],[2,2,2],[3,3]]	0.500000	2	1.0000	18	1.8000	5.0000	1
[[2,2,2],[3,3],[2,2,2]]	0.500000	2	1.0000	18	1.8000	5.0000	1
[[2,2,2],[3,3],[3,3]]	0.500000	2	1.0000	18	1.8000	5.0000	1
[[3,3],[2,2,2],[2,2,2]]	0.500000	2	1.0000	18	1.8000	5.0000	1
[[3,3],[2,2,2],[3,3]]	0.500000	2	1.0000	18	1.8000	5.0000	1
[[3,3],[3,3],[2,2,2]]	0.500000	2	1.0000	18	1.8000	5.0000	1
[[2,2],[2,3]]	0.333333	2	1.5000	9	1.0000	4.5000	1
[[2,2],[3,2]]	0.333333	2	1.5000	9	1.0000	4.5000	1
[[2,3],[2,2]]	0.333333	2	1.5000	9	1.0000	4.5000	1
[[3,2],[2,2]]	0.333333	2	1.5000	9	1.0000	4.5000	1
[[2,2,2],[2,2]]	0.333333	2	1.5000	10	1.0000	5.0000	1
[[2,2],[2,2,2]]	0.333333	2	1.5000	10	1.0000	5.0000	1
[[2,2],[3,3]]	0.333333	2	1.5000	10	1.0000	5.0000	1
[[2,3],[3,2]]	0.333333	2	1.5000	10	1.0000	5.0000	1
[[3,2],[2,3]]	0.333333	2	1.5000	10	1.0000	5.0000	1
[[3,3],[2,2]]	0.333333	2	1.5000	10	1.0000	5.0000	1
[[2,2,2],[2,3]]	0.333333	2	1.5000	11	1.1000	5.0000	1
[[2,2,2],[3,2]]	0.333333	2	1.5000	11	1.1000	5.0000	1
[[2,3],[2,2,2]]	0.333333	2	1.5000	11	1.1000	5.0000	1
[[2,3],[3,3]]	0.333333	2	1.5000	11	1.1000	5.0000	1
[[3,2],[2,2,2]]	0.333333	2	1.5000	11	1.1000	5.0000	1
[[3,2],[3,3]]	0.333333	2	1.5000	11	1.1000	5.0000	1
[[3,3],[2,3]]	0.333333	2	1.5000	11	1.1000	5.0000	1
[[3,3],[3,2]]	0.333333	2	1.5000	11	1.1000	5.0000	1
[[2,2,3],[2,3]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[2,2,3],[3,2]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[2,3,2],[2,3]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[2,3,2],[3,2]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[2,3],[2,2,3]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[2,3],[2,3,2]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[2,3],[3,2,2]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[3,2,2],[2,3]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[3,2,2],[3,2]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[3,2],[2,2,3]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[3,2],[2,3,2]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[3,2],[3,2,2]]	0.333333	2	1.5000	12	1.2000	5.0000	1
[[2,2,2],[2,2,3]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2,2],[2,3,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2,2],[3,2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2,3],[2,2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2,3],[3,3]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2],[2,2],[2,3]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2],[2,2],[3,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2],[2,3],[2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2],[3,2],[2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,3,2],[2,2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,3,2],[3,3]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,3],[2,2],[2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[3,2,2],[2,2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[3,2,2],[3,3]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[3,2],[2,2],[2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[3,3],[2,2,3]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[3,3],[2,3,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[3,3],[3,2,2]]	0.333333	2	1.5000	13	1.3000	5.0000	1
[[2,2,2],[2,2],[2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2,2],[2,3,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2,2],[3,2,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2,2],[3,3,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2,3],[2,3,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2,3],[3,2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2],[2,2,2],[2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2],[2,2],[2,2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2],[2,2],[3,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2],[2,3],[2,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2],[3,2],[3,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2],[3,3],[2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,3,2],[2,2,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,3,2],[3,2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,3,3],[2,2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,3,3],[3,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,3],[2,2],[2,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,3],[2,3],[2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,2,2],[2,2,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,2,2],[2,3,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,2,3],[2,2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,2,3],[3,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,2],[2,2],[3,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,2],[3,2],[2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,3,2],[2,2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,3,2],[3,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,3],[2,2],[2,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,3],[2,3,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,3],[3,2,3]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[3,3],[3,3,2]]	0.333333	2	1.5000	14	1.4000	5.0000	1
[[2,2,2],[3,3,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,2,3],[2,3,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,2,3],[3,2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,2,3],[3,3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3,2],[2,3,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3,2],[3,2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3,2],[3,3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3,3],[2,2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3,3],[2,3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3,3],[3,2,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3],[2,3],[3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3],[3,2],[2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,3],[3,2],[3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2,2],[2,3,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2,2],[3,2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2,2],[3,3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2,3],[2,2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2,3],[2,3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2,3],[3,2,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2],[2,3],[2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2],[2,3],[3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,2],[3,2],[2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,3,2],[2,2,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,3,2],[2,3,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,3,2],[3,2,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,3,3],[2,2,2]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,3,3],[3,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[3,3],[3,3,3]]	0.333333	2	1.5000	15	1.5000	5.0000	1
[[2,2,2],[2,2,2],[2,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,2,2],[2,2],[2,2,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,2,2],[2,3],[2,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,2,2],[3,2],[3,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,2,3],[3,3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,2],[2,2,2],[2,2,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,2],[3,3],[3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,3,2],[3,3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,3,3],[3,2,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,3,3],[3,3,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,3],[2,2,2],[2,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,3],[2,3],[2,2,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,3],[2,3],[3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,3],[3,3],[2,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,2,2],[3,3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,2,3],[2,3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,2,3],[3,3,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,2],[2,2,2],[3,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,2],[3,2],[2,2,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,2],[3,2],[3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,2],[3,3],[3,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3,2],[2,3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3,2],[3,2,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3,3],[2,2,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3,3],[2,3,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3,3],[3,2,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3],[2,2],[3,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3],[2,3],[2,3]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3],[3,2],[3,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[3,3],[3,3],[2,2]]	0.333333	2	1.5000	16	1.6000	5.0000	1
[[2,2,2],[2,2,2],[2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,2,2],[2,2,2],[3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,2,2],[2,3],[2,2,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,2,2],[3,2],[2,2,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,2,3],[2,3],[2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,2,3],[3,2],[3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3,2],[2,3],[2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3,2],[3,2],[3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3,3],[3,3,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3],[2,2,2],[2,2,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3],[2,2,3],[2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3],[2,3,2],[2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3],[2,3],[2,2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3],[2,3],[2,3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3],[2,3],[3,2,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3],[3,2,2],[2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[2,3],[3,3],[3,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2,2],[2,3],[2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2,2],[3,2],[3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2,3],[3,3,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2],[2,2,2],[2,2,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2],[2,2,3],[3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2],[2,3,2],[3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2],[3,2,2],[3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2],[3,2],[2,2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2],[3,2],[2,3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2],[3,2],[3,2,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,2],[3,3],[3,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,3,2],[3,3,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,3,3],[2,3,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,3,3],[3,2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,3,3],[3,3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,3],[2,3],[3,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,3],[3,2],[3,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,3],[3,3],[2,3]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[3,3],[3,3],[3,2]]	0.333333	2	1.5000	17	1.7000	5.0000	1
[[[2,2],[2,2]],[[2,2],[2,3]]]	0.333333	2	1.5000	17	1.7000	5.0000	2
[[[2,2],[2,2]],[[2,2],[3,2]]]	0.333333	2	1.5000	17	1.7000	5.0000	2
[[[2,2],[2,2]],[[2,3],[2,2]]]	0.333333	2	1.5000	17	1.7000	5.0000	2
[[[2,2],[2,2]],[[3,2],[2,2]]]	0.333333	2	1.5000	17	1.7000	5.0000	2
[[[2,2],[2,3]],[[2,2],[2,2]]]	0.333333	2	1.5000	17	1.7000	5.0000	2
[[[2,2],[3,2]],[[2,2],[2,2]]]	0.333333	2	1.5000	17	1.7000	5.0000	2
[[[2,3],[2,2]],[[2,2],[2,2]]]	0.333333	2	1.5000	17	1.7000	5.0000	2
[[[3,2],[2,2]],[[2,2],[2,2]]]	0.333333	2	1.5000	17	1.7000	5.0000	2
[[[2,2,2],[2,2]],[[2,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,2,2]],[[2,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[2,2,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[2,2],[2,2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[2,2],[3,3]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[2,3],[2,3]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[3,2],[3,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,2]],[[3,3],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,3]],[[2,2],[2,3]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[2,3]],[[2,3],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[3,2]],[[2,2],[3,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[3,2]],[[3,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,2],[3,3]],[[2,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,3],[2,2]],[[2,2],[2,3]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,3],[2,2]],[[2,3],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[2,3],[2,3]],[[2,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[3,2],[2,2]],[[2,2],[3,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[3,2],[2,2]],[[3,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[3,2],[3,2]],[[2,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[[3,3],[2,2]],[[2,2],[2,2]]]	0.333333	2	1.5000	18	1.8000	5.0000	2
[[2,2,2],[2,2,2],[2,2,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,2],[2,2,2],[2,3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,2],[2,2,2],[3,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,2],[2,2,3],[2,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,2],[2,3,2],[2,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,2],[3,2,2],[2,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,3],[2,2,2],[2,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,3],[2,2,3],[2,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,3],[2,2,3],[3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,3],[2,3],[2,2,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,3],[3,2],[2,2,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,2,3],[3,3],[3,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3,2],[2,2,2],[2,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3,2],[2,3,2],[2,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3,2],[2,3,2],[3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3,2],[2,3],[2,3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3,2],[3,2],[2,3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3,2],[3,3],[3,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3],[2,2,3],[2,2,3]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3],[2,3,2],[2,3,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[2,3],[3,2,2],[3,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,2,2],[2,2,2],[2,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
[[3,2,2],[2,3],[3,2,2]]	0.333333	2	1.5000	19	1.9000	5.0000	1
